Robert | Health: 100.0 | Strength: 500.0
Jaenille | Health: 100.0 | Strength: 300.0
Knight-0 | Health: 100.0 | Strength: 439.0
Knight-1 | Health: 100.0 | Strength: 424.0
Knight-2 | Health: 100.0 | Strength: 379.0
Knight-3 | Health: 100.0 | Strength: 358.0
Knight-4 | Health: 100.0 | Strength: 393.0
Knight-5 | Health: 100.0 | Strength: 384.0
Knight-6 | Health: 100.0 | Strength: 404.0
Knight-7 | Health: 100.0 | Strength: 385.0
Knight-8 | Health: 100.0 | Strength: 442.0
Knight-9 | Health: 100.0 | Strength: 435.0
Knight-10 | Health: 100.0 | Strength: 443.0
Knight-11 | Health: 100.0 | Strength: 382.0
Knight-12 | Health: 100.0 | Strength: 433.0
Knight-13 | Health: 100.0 | Strength: 365.0
Knight-14 | Health: 100.0 | Strength: 419.0
Knight-15 | Health: 100.0 | Strength: 442.0
Knight-16 | Health: 100.0 | Strength: 382.0
Knight-17 | Health: 100.0 | Strength: 386.0
Knight-18 | Health: 100.0 | Strength: 350.0
Knight-19 | Health: 100.0 | Strength: 379.0
Knight-20 | Health: 100.0 | Strength: 440.0
Knight-21 | Health: 100.0 | Strength: 413.0
Knight-22 | Health: 100.0 | Strength: 431.0
Knight-23 | Health: 100.0 | Strength: 379.0
Knight-24 | Health: 100.0 | Strength: 419.0
Knight-25 | Health: 100.0 | Strength: 393.0
Knight-26 | Health: 100.0 | Strength: 368.0
Knight-27 | Health: 100.0 | Strength: 397.0
Knight-28 | Health: 100.0 | Strength: 384.0
Knight-29 | Health: 100.0 | Strength: 403.0
Knight-30 | Health: 100.0 | Strength: 387.0
Knight-31 | Health: 100.0 | Strength: 395.0
Knight-32 | Health: 100.0 | Strength: 358.0
Knight-33 | Health: 100.0 | Strength: 390.0
Knight-34 | Health: 100.0 | Strength: 447.0
Knight-35 | Health: 100.0 | Strength: 373.0
Knight-36 | Health: 100.0 | Strength: 377.0
Knight-37 | Health: 100.0 | Strength: 350.0
Knight-38 | Health: 100.0 | Strength: 444.0
Knight-39 | Health: 100.0 | Strength: 376.0
Knight-40 | Health: 100.0 | Strength: 354.0
Knight-41 | Health: 100.0 | Strength: 445.0
Knight-42 | Health: 100.0 | Strength: 423.0
Knight-43 | Health: 100.0 | Strength: 443.0
Knight-44 | Health: 100.0 | Strength: 399.0
Knight-45 | Health: 100.0 | Strength: 373.0
Knight-46 | Health: 100.0 | Strength: 411.0
Knight-47 | Health: 100.0 | Strength: 376.0
Knight-48 | Health: 100.0 | Strength: 421.0
Knight-49 | Health: 100.0 | Strength: 362.0
Knight-50 | Health: 100.0 | Strength: 402.0
Knight-51 | Health: 100.0 | Strength: 373.0
Knight-52 | Health: 100.0 | Strength: 440.0
Knight-53 | Health: 100.0 | Strength: 380.0
Knight-54 | Health: 100.0 | Strength: 435.0
Knight-55 | Health: 100.0 | Strength: 445.0
Knight-56 | Health: 100.0 | Strength: 414.0
Knight-57 | Health: 100.0 | Strength: 396.0
Knight-58 | Health: 100.0 | Strength: 438.0
Knight-59 | Health: 100.0 | Strength: 437.0
Knight-60 | Health: 100.0 | Strength: 424.0
Knight-61 | Health: 100.0 | Strength: 431.0
Knight-62 | Health: 100.0 | Strength: 366.0
Knight-63 | Health: 100.0 | Strength: 427.0
Knight-64 | Health: 100.0 | Strength: 386.0
Knight-65 | Health: 100.0 | Strength: 417.0
Knight-66 | Health: 100.0 | Strength: 444.0
Knight-67 | Health: 100.0 | Strength: 414.0
Knight-68 | Health: 100.0 | Strength: 438.0
Knight-69 | Health: 100.0 | Strength: 413.0
Knight-70 | Health: 100.0 | Strength: 425.0
Knight-71 | Health: 100.0 | Strength: 430.0
Knight-72 | Health: 100.0 | Strength: 417.0
Knight-73 | Health: 100.0 | Strength: 439.0
Knight-74 | Health: 100.0 | Strength: 353.0
Knight-75 | Health: 100.0 | Strength: 431.0
Knight-76 | Health: 100.0 | Strength: 378.0
Knight-77 | Health: 100.0 | Strength: 411.0
Knight-78 | Health: 100.0 | Strength: 423.0
Knight-79 | Health: 100.0 | Strength: 377.0
Knight-80 | Health: 100.0 | Strength: 416.0
Knight-81 | Health: 100.0 | Strength: 380.0
Knight-82 | Health: 100.0 | Strength: 411.0
Knight-83 | Health: 100.0 | Strength: 373.0
Knight-84 | Health: 100.0 | Strength: 391.0
Knight-85 | Health: 100.0 | Strength: 364.0
Knight-86 | Health: 100.0 | Strength: 364.0
Knight-87 | Health: 100.0 | Strength: 415.0
Knight-88 | Health: 100.0 | Strength: 390.0
Knight-89 | Health: 100.0 | Strength: 422.0
Knight-90 | Health: 100.0 | Strength: 368.0
Knight-91 | Health: 100.0 | Strength: 417.0
Knight-92 | Health: 100.0 | Strength: 416.0
Knight-93 | Health: 100.0 | Strength: 447.0
Knight-94 | Health: 100.0 | Strength: 443.0
Knight-95 | Health: 100.0 | Strength: 400.0
Knight-96 | Health: 100.0 | Strength: 384.0
Knight-97 | Health: 100.0 | Strength: 355.0
Knight-98 | Health: 100.0 | Strength: 380.0
Knight-99 | Health: 100.0 | Strength: 359.0
Troll-0 | Health: 200.0 | Strength: 192.0
Troll-1 | Health: 200.0 | Strength: 156.0
Troll-2 | Health: 200.0 | Strength: 230.0
Troll-3 | Health: 200.0 | Strength: 176.0
Troll-4 | Health: 200.0 | Strength: 159.0
Troll-5 | Health: 200.0 | Strength: 209.0
Troll-6 | Health: 200.0 | Strength: 183.0
Troll-7 | Health: 200.0 | Strength: 156.0
Troll-8 | Health: 200.0 | Strength: 235.0
Troll-9 | Health: 200.0 | Strength: 245.0
Troll-10 | Health: 200.0 | Strength: 214.0
Troll-11 | Health: 200.0 | Strength: 207.0
Troll-12 | Health: 200.0 | Strength: 215.0
Troll-13 | Health: 200.0 | Strength: 199.0
Troll-14 | Health: 200.0 | Strength: 247.0
Troll-15 | Health: 200.0 | Strength: 181.0
